Timepoint,GOID_BiologicalProcess,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
d4,GO:0120162,positive regulation of cold-induced thermogenesis,6/354,98/23062,0.004041532,0.012249591,0.005928595,ENSMUSG00000005268/ENSMUSG00000026822/ENSMUSG00000030748/ENSMUSG00000045382/ENSMUSG00000049103/ENSMUSG00000062515,6
d4,GO:0046822,regulation of nucleocytoplasmic transport,7/354,131/23062,0.004165231,0.012609932,0.006102994,ENSMUSG00000020349/ENSMUSG00000020484/ENSMUSG00000020849/ENSMUSG00000022548/ENSMUSG00000027843/ENSMUSG00000028964/ENSMUSG00000030341,7
d4,GO:0001960,negative regulation of cytokine-mediated signaling pathway,5/354,69/23062,0.004170512,0.012609932,0.006102994,ENSMUSG00000023992/ENSMUSG00000027639/ENSMUSG00000035692/ENSMUSG00000040025/ENSMUSG00000078945,5
d4,GO:0030968,endoplasmic reticulum unfolded protein response,5/354,69/23062,0.004170512,0.012609932,0.006102994,ENSMUSG00000003873/ENSMUSG00000020484/ENSMUSG00000028466/ENSMUSG00000029390/ENSMUSG00000055024,5
d4,GO:1903051,negative regulation of proteolysis involved in protein catabolic process,5/354,69/23062,0.004170512,0.012609932,0.006102994,ENSMUSG00000006611/ENSMUSG00000010609/ENSMUSG00000028964/ENSMUSG00000041560/ENSMUSG00000047879,5
d4,GO:0009124,nucleoside monophosphate biosynthetic process,4/354,43/23062,0.004202639,0.012645869,0.006120386,ENSMUSG00000005686/ENSMUSG00000020857/ENSMUSG00000037601/ENSMUSG00000115338,4
d4,GO:0035794,positive regulation of mitochondrial membrane permeability,4/354,43/23062,0.004202639,0.012645869,0.006120386,ENSMUSG00000003873/ENSMUSG00000027997/ENSMUSG00000059552/ENSMUSG00000064326,4
d4,GO:0045601,regulation of endothelial cell differentiation,4/354,43/23062,0.004202639,0.012645869,0.006120386,ENSMUSG00000006932/ENSMUSG00000029106/ENSMUSG00000030341/ENSMUSG00000038235,4
d4,GO:0045981,positive regulation of nucleotide metabolic process,4/354,43/23062,0.004202639,0.012645869,0.006120386,ENSMUSG00000004040/ENSMUSG00000022708/ENSMUSG00000023992/ENSMUSG00000028991,4
d4,GO:0051281,positive regulation of release of sequestered calcium ion into cytosol,4/354,43/23062,0.004202639,0.012645869,0.006120386,ENSMUSG00000001175/ENSMUSG00000003873/ENSMUSG00000026385/ENSMUSG00000032011,4
d4,GO:0098801,regulation of renal system process,4/354,43/23062,0.004202639,0.012645869,0.006120386,ENSMUSG00000000326/ENSMUSG00000006519/ENSMUSG00000020681/ENSMUSG00000022505,4
d4,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,4/354,43/23062,0.004202639,0.012645869,0.006120386,ENSMUSG00000001847/ENSMUSG00000003814/ENSMUSG00000006699/ENSMUSG00000022425,4
d4,GO:1900544,positive regulation of purine nucleotide metabolic process,4/354,43/23062,0.004202639,0.012645869,0.006120386,ENSMUSG00000004040/ENSMUSG00000022708/ENSMUSG00000023992/ENSMUSG00000028991,4
d4,GO:0055092,sterol homeostasis,6/354,99/23062,0.004247999,0.012774667,0.006182723,ENSMUSG00000018501/ENSMUSG00000020484/ENSMUSG00000024913/ENSMUSG00000037936/ENSMUSG00000047139/ENSMUSG00000062515,6
d4,GO:0046578,regulation of Ras protein signal transduction,9/354,203/23062,0.004281288,0.012867034,0.006227427,ENSMUSG00000015766/ENSMUSG00000020573/ENSMUSG00000021709/ENSMUSG00000025809/ENSMUSG00000026043/ENSMUSG00000036006/ENSMUSG00000038235/ENSMUSG00000039239/ENSMUSG00000039844,9
d4,GO:0050808,synapse organization,16/354,495/23062,0.00438401,0.013167838,0.006373011,ENSMUSG00000005125/ENSMUSG00000006699/ENSMUSG00000006932/ENSMUSG00000007815/ENSMUSG00000013236/ENSMUSG00000015656/ENSMUSG00000020152/ENSMUSG00000021190/ENSMUSG00000023992/ENSMUSG00000028364/ENSMUSG00000028399/ENSMUSG00000029580/ENSMUSG00000031696/ENSMUSG00000038608/ENSMUSG00000045983/ENSMUSG00000054693,16
d4,GO:1904036,negative regulation of epithelial cell apoptotic process,5/354,70/23062,0.004435977,0.013223036,0.006399725,ENSMUSG00000005413/ENSMUSG00000015619/ENSMUSG00000028991/ENSMUSG00000030717/ENSMUSG00000057329,5
d4,GO:0009219,pyrimidine deoxyribonucleotide metabolic process,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000020857/ENSMUSG00000029780/ENSMUSG00000037601,3
d4,GO:0031579,membrane raft organization,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000022505/ENSMUSG00000026879/ENSMUSG00000036103,3
d4,GO:0032674,regulation of interleukin-5 production,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000015619/ENSMUSG00000023915/ENSMUSG00000033467,3
d4,GO:0036344,platelet morphogenesis,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000004266/ENSMUSG00000005103/ENSMUSG00000055024,3
d4,GO:0042790,nucleolar large rRNA transcription by RNA polymerase I,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000000902/ENSMUSG00000028991/ENSMUSG00000041560,3
d4,GO:0045475,locomotor rhythm,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000001751/ENSMUSG00000018501/ENSMUSG00000028991,3
d4,GO:0045624,positive regulation of T-helper cell differentiation,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000025383/ENSMUSG00000030748/ENSMUSG00000049103,3
d4,GO:0046629,gamma-delta T cell activation,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000002799/ENSMUSG00000022488/ENSMUSG00000043505,3
d4,GO:0046697,decidualization,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000021477/ENSMUSG00000052837/ENSMUSG00000073889,3
d4,GO:0060749,mammary gland alveolus development,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000005268/ENSMUSG00000021109/ENSMUSG00000026321,3
d4,GO:0061377,mammary gland lobule development,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000005268/ENSMUSG00000021109/ENSMUSG00000026321,3
d4,GO:0061760,antifungal innate immune response,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000009281/ENSMUSG00000020124/ENSMUSG00000028191,3
d4,GO:0071800,podosome assembly,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000003283/ENSMUSG00000007815/ENSMUSG00000026879,3
d4,GO:0140747,regulation of ncRNA transcription,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000000902/ENSMUSG00000028991/ENSMUSG00000041560,3
d4,GO:1900424,regulation of defense response to bacterium,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000006519/ENSMUSG00000029163/ENSMUSG00000033902,3
d4,GO:1903427,negative regulation of reactive oxygen species biosynthetic process,3/354,22/23062,0.004447364,0.013223036,0.006399725,ENSMUSG00000004040/ENSMUSG00000007815/ENSMUSG00000028964,3
d4,GO:0031060,regulation of histone methylation,6/354,100/23062,0.004462153,0.013259119,0.006417189,ENSMUSG00000000902/ENSMUSG00000006932/ENSMUSG00000015619/ENSMUSG00000020484/ENSMUSG00000024002/ENSMUSG00000037486,6
d4,GO:0006911,"phagocytosis, engulfment",7/354,133/23062,0.004524507,0.013428435,0.006499135,ENSMUSG00000001847/ENSMUSG00000006699/ENSMUSG00000016024/ENSMUSG00000022488/ENSMUSG00000023992/ENSMUSG00000026879/ENSMUSG00000064210,7
d4,GO:0045739,positive regulation of DNA repair,7/354,133/23062,0.004524507,0.013428435,0.006499135,ENSMUSG00000000902/ENSMUSG00000020152/ENSMUSG00000029580/ENSMUSG00000030744/ENSMUSG00000037935/ENSMUSG00000090083/ENSMUSG00000115338,7
d4,GO:0007519,skeletal muscle tissue development,9/354,205/23062,0.004562438,0.013508999,0.006538127,ENSMUSG00000006932/ENSMUSG00000007815/ENSMUSG00000026313/ENSMUSG00000030717/ENSMUSG00000036006/ENSMUSG00000055024/ENSMUSG00000057329/ENSMUSG00000063415/ENSMUSG00000063856,9
d4,GO:0018394,peptidyl-lysine acetylation,9/354,205/23062,0.004562438,0.013508999,0.006538127,ENSMUSG00000000902/ENSMUSG00000001632/ENSMUSG00000015619/ENSMUSG00000024002/ENSMUSG00000025223/ENSMUSG00000028964/ENSMUSG00000029580/ENSMUSG00000042613/ENSMUSG00000055024,9
d4,GO:0046890,regulation of lipid biosynthetic process,9/354,205/23062,0.004562438,0.013508999,0.006538127,ENSMUSG00000022708/ENSMUSG00000022982/ENSMUSG00000026385/ENSMUSG00000027358/ENSMUSG00000027613/ENSMUSG00000028163/ENSMUSG00000028991/ENSMUSG00000037936/ENSMUSG00000056492,9
d4,GO:0085029,extracellular matrix assembly,4/354,44/23062,0.004567869,0.013508999,0.006538127,ENSMUSG00000022018/ENSMUSG00000024529/ENSMUSG00000026043/ENSMUSG00000029163,4
d4,GO:1902108,regulation of mitochondrial membrane permeability involved in apoptotic process,4/354,44/23062,0.004567869,0.013508999,0.006538127,ENSMUSG00000003873/ENSMUSG00000027997/ENSMUSG00000059552/ENSMUSG00000064326,4
d4,GO:2000772,regulation of cellular senescence,4/354,44/23062,0.004567869,0.013508999,0.006538127,ENSMUSG00000028991/ENSMUSG00000039456/ENSMUSG00000059552/ENSMUSG00000060802,4
d4,GO:0006970,response to osmotic stress,6/354,101/23062,0.004684161,0.013828374,0.006692699,ENSMUSG00000001847/ENSMUSG00000003873/ENSMUSG00000004655/ENSMUSG00000028991/ENSMUSG00000031431/ENSMUSG00000059552,6
d4,GO:0032370,positive regulation of lipid transport,6/354,101/23062,0.004684161,0.013828374,0.006692699,ENSMUSG00000021025/ENSMUSG00000021486/ENSMUSG00000023992/ENSMUSG00000026321/ENSMUSG00000026385/ENSMUSG00000040249,6
d4,GO:0060021,roof of mouth development,6/354,101/23062,0.004684161,0.013828374,0.006692699,ENSMUSG00000002799/ENSMUSG00000026638/ENSMUSG00000026971/ENSMUSG00000029287/ENSMUSG00000039239/ENSMUSG00000041324,6
d4,GO:0034250,positive regulation of cellular amide metabolic process,8/354,169/23062,0.0046971,0.013858385,0.006707224,ENSMUSG00000024927/ENSMUSG00000026728/ENSMUSG00000027613/ENSMUSG00000027695/ENSMUSG00000028991/ENSMUSG00000032423/ENSMUSG00000040025/ENSMUSG00000045983,8
d4,GO:0030705,cytoskeleton-dependent intracellular transport,9/354,206/23062,0.0047083,0.013866873,0.006711332,ENSMUSG00000004951/ENSMUSG00000006699/ENSMUSG00000006740/ENSMUSG00000015656/ENSMUSG00000020149/ENSMUSG00000020437/ENSMUSG00000021109/ENSMUSG00000022982/ENSMUSG00000030105,9
d4,GO:0051048,negative regulation of secretion,9/354,206/23062,0.0047083,0.013866873,0.006711332,ENSMUSG00000000326/ENSMUSG00000005413/ENSMUSG00000020641/ENSMUSG00000020681/ENSMUSG00000022488/ENSMUSG00000027204/ENSMUSG00000030341/ENSMUSG00000049103/ENSMUSG00000050732,9
d4,GO:0120032,regulation of plasma membrane bounded cell projection assembly,9/354,206/23062,0.0047083,0.013866873,0.006711332,ENSMUSG00000001847/ENSMUSG00000004655/ENSMUSG00000006699/ENSMUSG00000015766/ENSMUSG00000020152/ENSMUSG00000026313/ENSMUSG00000027695/ENSMUSG00000028991/ENSMUSG00000036006,9
d4,GO:0097194,execution phase of apoptosis,5/354,71/23062,0.004713257,0.013873296,0.00671444,ENSMUSG00000003873/ENSMUSG00000028191/ENSMUSG00000032369/ENSMUSG00000047139/ENSMUSG00000059552,5
d4,GO:0007059,chromosome segregation,13/354,368/23062,0.00477278,0.014040232,0.006795234,ENSMUSG00000000902/ENSMUSG00000006699/ENSMUSG00000006932/ENSMUSG00000017485/ENSMUSG00000020152/ENSMUSG00000024002/ENSMUSG00000024844/ENSMUSG00000028419/ENSMUSG00000029580/ENSMUSG00000030105/ENSMUSG00000030744/ENSMUSG00000037935/ENSMUSG00000042029,13
d4,GO:0045333,cellular respiration,10/354,245/23062,0.0047764,0.014042615,0.006796388,ENSMUSG00000003873/ENSMUSG00000007815/ENSMUSG00000021109/ENSMUSG00000021486/ENSMUSG00000021764/ENSMUSG00000022969/ENSMUSG00000028455/ENSMUSG00000028964/ENSMUSG00000030717/ENSMUSG00000041560,10
d4,GO:0072175,epithelial tube formation,8/354,170/23062,0.00486506,0.014294868,0.006918474,ENSMUSG00000001632/ENSMUSG00000006932/ENSMUSG00000015619/ENSMUSG00000021109/ENSMUSG00000028191/ENSMUSG00000029390/ENSMUSG00000035247/ENSMUSG00000039239,8
d4,GO:0009791,post-embryonic development,7/354,135/23062,0.004906695,0.014408731,0.006973582,ENSMUSG00000003873/ENSMUSG00000015619/ENSMUSG00000028991/ENSMUSG00000029648/ENSMUSG00000039456/ENSMUSG00000057329/ENSMUSG00000075376,7
d4,GO:0010770,positive regulation of cell morphogenesis involved in differentiation,6/354,102/23062,0.004914193,0.014422276,0.006980137,ENSMUSG00000001847/ENSMUSG00000003814/ENSMUSG00000006699/ENSMUSG00000020152/ENSMUSG00000022425/ENSMUSG00000028399,6
d4,GO:0001569,branching involved in blood vessel morphogenesis,4/354,45/23062,0.004953863,0.014496141,0.007015887,ENSMUSG00000006932/ENSMUSG00000029648/ENSMUSG00000045382/ENSMUSG00000061353,4
d4,GO:0010935,regulation of macrophage cytokine production,4/354,45/23062,0.004953863,0.014496141,0.007015887,ENSMUSG00000022500/ENSMUSG00000028277/ENSMUSG00000033124/ENSMUSG00000039239,4
d4,GO:0032660,regulation of interleukin-17 production,4/354,45/23062,0.004953863,0.014496141,0.007015887,ENSMUSG00000015314/ENSMUSG00000020101/ENSMUSG00000022488/ENSMUSG00000025383,4
d4,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,4/354,45/23062,0.004953863,0.014496141,0.007015887,ENSMUSG00000020108/ENSMUSG00000030717/ENSMUSG00000055024/ENSMUSG00000059552,4
d4,GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand,4/354,45/23062,0.004953863,0.014496141,0.007015887,ENSMUSG00000005161/ENSMUSG00000039239/ENSMUSG00000041324/ENSMUSG00000057329,4
d4,GO:0000413,protein peptidyl-prolyl isomerization,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000032383/ENSMUSG00000032966/ENSMUSG00000071866,3
d4,GO:0009129,pyrimidine nucleoside monophosphate metabolic process,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000020857/ENSMUSG00000029780/ENSMUSG00000037601,3
d4,GO:0009151,purine deoxyribonucleotide metabolic process,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000025041/ENSMUSG00000027639/ENSMUSG00000115338,3
d4,GO:0010818,T cell chemotaxis,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000049103/ENSMUSG00000054693/ENSMUSG00000061353,3
d4,GO:0019835,cytolysis,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000016024/ENSMUSG00000037966/ENSMUSG00000039899,3
d4,GO:0032634,interleukin-5 production,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000015619/ENSMUSG00000023915/ENSMUSG00000033467,3
d4,GO:0032693,negative regulation of interleukin-10 production,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000020101/ENSMUSG00000023915/ENSMUSG00000025383,3
d4,GO:0033008,positive regulation of mast cell activation involved in immune response,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000028874/ENSMUSG00000030748/ENSMUSG00000050732,3
d4,GO:0042053,regulation of dopamine metabolic process,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000000326/ENSMUSG00000028964/ENSMUSG00000031696,3
d4,GO:0042481,regulation of odontogenesis,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000016494/ENSMUSG00000027358/ENSMUSG00000039153,3
d4,GO:0043306,positive regulation of mast cell degranulation,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000028874/ENSMUSG00000030748/ENSMUSG00000050732,3
d4,GO:0044154,histone H3-K14 acetylation,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000001632/ENSMUSG00000015619/ENSMUSG00000024002,3
d4,GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000024790/ENSMUSG00000028399/ENSMUSG00000053113,3
d4,GO:0048670,regulation of collateral sprouting,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000000861/ENSMUSG00000013236/ENSMUSG00000040249,3
d4,GO:0097284,hepatocyte apoptotic process,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000020573/ENSMUSG00000026879/ENSMUSG00000027997,3
d4,GO:1900120,regulation of receptor binding,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000006611/ENSMUSG00000024529/ENSMUSG00000060802,3
d4,GO:1901623,regulation of lymphocyte chemotaxis,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000035373/ENSMUSG00000049103/ENSMUSG00000054693,3
d4,GO:1904385,cellular response to angiotensin,3/354,23/23062,0.005056916,0.014643376,0.007087146,ENSMUSG00000001847/ENSMUSG00000024927/ENSMUSG00000028163,3
d4,GO:0055076,transition metal ion homeostasis,7/354,136/23062,0.005106659,0.014778855,0.007152716,ENSMUSG00000005413/ENSMUSG00000006611/ENSMUSG00000021109/ENSMUSG00000022982/ENSMUSG00000026822/ENSMUSG00000032554/ENSMUSG00000060802,7
d4,GO:0006910,"phagocytosis, recognition",6/354,103/23062,0.005152416,0.014894027,0.007208457,ENSMUSG00000023992/ENSMUSG00000024371/ENSMUSG00000036103/ENSMUSG00000037936/ENSMUSG00000055447/ENSMUSG00000090231,6
d4,GO:0010660,regulation of muscle cell apoptotic process,6/354,103/23062,0.005152416,0.014894027,0.007208457,ENSMUSG00000005413/ENSMUSG00000015656/ENSMUSG00000030717/ENSMUSG00000057329/ENSMUSG00000057666/ENSMUSG00000059552,6
d4,GO:0060491,regulation of cell projection assembly,9/354,209/23062,0.005167738,0.014929686,0.007225715,ENSMUSG00000001847/ENSMUSG00000004655/ENSMUSG00000006699/ENSMUSG00000015766/ENSMUSG00000020152/ENSMUSG00000026313/ENSMUSG00000027695/ENSMUSG00000028991/ENSMUSG00000036006,9
d4,GO:2001022,positive regulation of response to DNA damage stimulus,8/354,172/23062,0.005214756,0.015056818,0.007287245,ENSMUSG00000000902/ENSMUSG00000020152/ENSMUSG00000029580/ENSMUSG00000030744/ENSMUSG00000032369/ENSMUSG00000037935/ENSMUSG00000090083/ENSMUSG00000115338,8
d4,GO:0030888,regulation of B cell proliferation,5/354,73/23062,0.005304375,0.015271465,0.007391131,ENSMUSG00000022488/ENSMUSG00000023915/ENSMUSG00000037706/ENSMUSG00000047139/ENSMUSG00000057329,5
d4,GO:0034243,regulation of transcription elongation by RNA polymerase II,5/354,73/23062,0.005304375,0.015271465,0.007391131,ENSMUSG00000006932/ENSMUSG00000018160/ENSMUSG00000024002/ENSMUSG00000025223/ENSMUSG00000090083,5
d4,GO:0034394,protein localization to cell surface,5/354,73/23062,0.005304375,0.015271465,0.007391131,ENSMUSG00000006611/ENSMUSG00000006932/ENSMUSG00000022505/ENSMUSG00000030805/ENSMUSG00000031990,5
d4,GO:0060761,negative regulation of response to cytokine stimulus,5/354,73/23062,0.005304375,0.015271465,0.007391131,ENSMUSG00000023992/ENSMUSG00000027639/ENSMUSG00000035692/ENSMUSG00000040025/ENSMUSG00000078945,5
d4,GO:1904894,positive regulation of receptor signaling pathway via STAT,5/354,73/23062,0.005304375,0.015271465,0.007391131,ENSMUSG00000005268/ENSMUSG00000022969/ENSMUSG00000025383/ENSMUSG00000033467/ENSMUSG00000055737,5
d4,GO:0032874,positive regulation of stress-activated MAPK cascade,7/354,137/23062,0.005312687,0.015277795,0.007394194,ENSMUSG00000006699/ENSMUSG00000027358/ENSMUSG00000033902/ENSMUSG00000039239/ENSMUSG00000049103/ENSMUSG00000078945/ENSMUSG00000109324,7
d4,GO:0034754,cellular hormone metabolic process,7/354,137/23062,0.005312687,0.015277795,0.007394194,ENSMUSG00000000326/ENSMUSG00000018160/ENSMUSG00000024990/ENSMUSG00000027358/ENSMUSG00000037936/ENSMUSG00000046402/ENSMUSG00000063415,7
d4,GO:0009260,ribonucleotide biosynthetic process,9/354,210/23062,0.005328366,0.015314074,0.007411752,ENSMUSG00000004040/ENSMUSG00000005686/ENSMUSG00000020431/ENSMUSG00000020857/ENSMUSG00000021764/ENSMUSG00000023992/ENSMUSG00000028455/ENSMUSG00000037601/ENSMUSG00000115338,9
d4,GO:0002347,response to tumor cell,4/354,46/23062,0.00536114,0.015372907,0.007440227,ENSMUSG00000001175/ENSMUSG00000005161/ENSMUSG00000024927/ENSMUSG00000047139,4
d4,GO:0032768,regulation of monooxygenase activity,4/354,46/23062,0.00536114,0.015372907,0.007440227,ENSMUSG00000028163/ENSMUSG00000028964/ENSMUSG00000037580/ENSMUSG00000037936,4
d4,GO:0046006,regulation of activated T cell proliferation,4/354,46/23062,0.00536114,0.015372907,0.007440227,ENSMUSG00000020612/ENSMUSG00000025383/ENSMUSG00000030744/ENSMUSG00000047139,4
d4,GO:0071542,dopaminergic neuron differentiation,4/354,46/23062,0.00536114,0.015372907,0.007440227,ENSMUSG00000001847/ENSMUSG00000006932/ENSMUSG00000021109/ENSMUSG00000061353,4
d4,GO:0006941,striated muscle contraction,8/354,173/23062,0.005396651,0.015465862,0.007485215,ENSMUSG00000001175/ENSMUSG00000010609/ENSMUSG00000026313/ENSMUSG00000026879/ENSMUSG00000028525/ENSMUSG00000028991/ENSMUSG00000030470/ENSMUSG00000045382,8
d4,GO:0051259,protein complex oligomerization,10/354,250/23062,0.005490249,0.01572508,0.007610673,ENSMUSG00000027639/ENSMUSG00000028191/ENSMUSG00000028455/ENSMUSG00000031696/ENSMUSG00000035692/ENSMUSG00000036006/ENSMUSG00000037966/ENSMUSG00000059552/ENSMUSG00000060802/ENSMUSG00000109324,10
d4,GO:0010970,transport along microtubule,8/354,174/23062,0.005583351,0.015982583,0.007735299,ENSMUSG00000004951/ENSMUSG00000006699/ENSMUSG00000006740/ENSMUSG00000015656/ENSMUSG00000020149/ENSMUSG00000021109/ENSMUSG00000022982/ENSMUSG00000030105,8
d4,GO:0006887,exocytosis,14/354,419/23062,0.005630199,0.01610746,0.007795738,ENSMUSG00000003283/ENSMUSG00000005413/ENSMUSG00000020431/ENSMUSG00000020437/ENSMUSG00000022488/ENSMUSG00000025867/ENSMUSG00000028874/ENSMUSG00000030105/ENSMUSG00000030347/ENSMUSG00000030748/ENSMUSG00000030805/ENSMUSG00000049103/ENSMUSG00000050732/ENSMUSG00000053158,14
d4,GO:0001822,kidney development,12/354,333/23062,0.005641589,0.016121592,0.007802577,ENSMUSG00000003873/ENSMUSG00000004655/ENSMUSG00000006932/ENSMUSG00000007815/ENSMUSG00000015619/ENSMUSG00000020681/ENSMUSG00000027204/ENSMUSG00000027358/ENSMUSG00000039239/ENSMUSG00000045382/ENSMUSG00000047139/ENSMUSG00000057329,12
d4,GO:0018105,peptidyl-serine phosphorylation,12/354,333/23062,0.005641589,0.016121592,0.007802577,ENSMUSG00000003873/ENSMUSG00000020108/ENSMUSG00000021270/ENSMUSG00000025949/ENSMUSG00000028964/ENSMUSG00000028991/ENSMUSG00000032577/ENSMUSG00000035027/ENSMUSG00000039456/ENSMUSG00000045983/ENSMUSG00000050310/ENSMUSG00000057329,12
d4,GO:0072080,nephron tubule development,6/354,105/23062,0.005654106,0.016148128,0.00781542,ENSMUSG00000004655/ENSMUSG00000006932/ENSMUSG00000015619/ENSMUSG00000027358/ENSMUSG00000047139/ENSMUSG00000057329,6
d4,GO:0034249,negative regulation of cellular amide metabolic process,9/354,212/23062,0.005661204,0.016159164,0.007820762,ENSMUSG00000003814/ENSMUSG00000027613/ENSMUSG00000028156/ENSMUSG00000030744/ENSMUSG00000032423/ENSMUSG00000040025/ENSMUSG00000057666/ENSMUSG00000074129/ENSMUSG00000075376,9
d4,GO:0002710,negative regulation of T cell mediated immunity,3/354,24/23062,0.00571435,0.016255164,0.007867224,ENSMUSG00000006611/ENSMUSG00000020101/ENSMUSG00000022488,3
d4,GO:0032930,positive regulation of superoxide anion generation,3/354,24/23062,0.00571435,0.016255164,0.007867224,ENSMUSG00000006519/ENSMUSG00000022982/ENSMUSG00000060803,3
d4,GO:0046040,IMP metabolic process,3/354,24/23062,0.00571435,0.016255164,0.007867224,ENSMUSG00000005686/ENSMUSG00000025041/ENSMUSG00000115338,3
d4,GO:0051481,negative regulation of cytosolic calcium ion concentration,3/354,24/23062,0.00571435,0.016255164,0.007867224,ENSMUSG00000023010/ENSMUSG00000040249/ENSMUSG00000057329,3
d4,GO:0060339,negative regulation of type I interferon-mediated signaling pathway,3/354,24/23062,0.00571435,0.016255164,0.007867224,ENSMUSG00000027639/ENSMUSG00000035692/ENSMUSG00000040025,3
d4,GO:1903204,negative regulation of oxidative stress-induced neuron death,3/354,24/23062,0.00571435,0.016255164,0.007867224,ENSMUSG00000006932/ENSMUSG00000021109/ENSMUSG00000028964,3
d4,GO:0070304,positive regulation of stress-activated protein kinase signaling cascade,7/354,139/23062,0.005743379,0.016328446,0.007902691,ENSMUSG00000006699/ENSMUSG00000027358/ENSMUSG00000033902/ENSMUSG00000039239/ENSMUSG00000049103/ENSMUSG00000078945/ENSMUSG00000109324,7
d4,GO:0009261,ribonucleotide catabolic process,4/354,47/23062,0.005790206,0.016414888,0.007944528,ENSMUSG00000005686/ENSMUSG00000025041/ENSMUSG00000029780/ENSMUSG00000115338,4
d4,GO:0030835,negative regulation of actin filament depolymerization,4/354,47/23062,0.005790206,0.016414888,0.007944528,ENSMUSG00000015766/ENSMUSG00000026879/ENSMUSG00000029106/ENSMUSG00000058587,4
d4,GO:0048741,skeletal muscle fiber development,4/354,47/23062,0.005790206,0.016414888,0.007944528,ENSMUSG00000026313/ENSMUSG00000036006/ENSMUSG00000057329/ENSMUSG00000063856,4
d4,GO:0072523,purine-containing compound catabolic process,4/354,47/23062,0.005790206,0.016414888,0.007944528,ENSMUSG00000005686/ENSMUSG00000025041/ENSMUSG00000027639/ENSMUSG00000115338,4
d4,GO:0072538,T-helper 17 type immune response,4/354,47/23062,0.005790206,0.016414888,0.007944528,ENSMUSG00000004040/ENSMUSG00000015314/ENSMUSG00000025383/ENSMUSG00000075376,4
d4,GO:1902115,regulation of organelle assembly,9/354,213/23062,0.005833533,0.016528345,0.007999439,ENSMUSG00000003283/ENSMUSG00000007815/ENSMUSG00000013236/ENSMUSG00000025949/ENSMUSG00000026879/ENSMUSG00000028399/ENSMUSG00000028419/ENSMUSG00000030717/ENSMUSG00000036006,9
d4,GO:0032412,regulation of ion transmembrane transporter activity,11/354,293/23062,0.005867973,0.016616505,0.008042107,ENSMUSG00000001175/ENSMUSG00000006740/ENSMUSG00000020349/ENSMUSG00000020849/ENSMUSG00000023992/ENSMUSG00000025701/ENSMUSG00000025809/ENSMUSG00000028525/ENSMUSG00000028964/ENSMUSG00000032966/ENSMUSG00000049103,11
d4,GO:0001704,formation of primary germ layer,6/354,106/23062,0.00591791,0.016729477,0.008096784,ENSMUSG00000006932/ENSMUSG00000020612/ENSMUSG00000024190/ENSMUSG00000026193/ENSMUSG00000036427/ENSMUSG00000041324,6
